username,rating,comment,time,product,sentiment
irengbiru98,5,"fitur terbaikmendengarkan suara
sepadan dengan hargalumayan sepadan

barangnya sesuai dengan deskripsi nyampenya juga lumayan cepat sellernya gercep  semoga barangnya awet dan berfungsi dengan baik okelah kalo begitu",2023-12-06 05:31:58,tws,positive
r*****l,5,"sepadan dengan hargayesss

aaaa suka banget bass nya oke untuk harga segitu krn modelnya ada karet di bagian kupingnya jadi ga gampang lepas dri kuping desainnya compact juga sukaaaaa packing lumayan sih 2 harian tapi dimaklumi krn beli pas 11  thanks seller",2024-01-07 00:51:28,tws,positive
e*****n,4,"fitur terbaiksangat menarik dn unik
sepadan dengan hargabarang

waw luar biasa  cukup rekoment banget untuk menggelengkan leher saya alias  kayak ditempat dugem  gk rugi beli dn semoga awet",2023-11-26 11:21:27,tws,positive
nida889,5,"sepadan dengan harga30ribn
fitur terbaikbagus skli nya suara kenceng

maaf baru kasih nilai skrng heheee intinya bagus deh brfungsi dgn baik semoga awet ka mkasih ka ku beli dlu headsetnya",2023-12-18 04:20:54,tws,positive
mikailanifsyawijaya,5,"fitur terbaikbagus 
sepadan dengan hargaterjangkau

bagus bgtt loh batrenya gak cepat habis lagi",2023-12-06 07:16:06,tws,positive
panujuthoriq17,5,"kualitas suarasuara jernih
warnaputih
kualitasmantap nggak murahan

alhamdulillah paketnya sampai juga akhirnya ini yang di tunggu tunggu padahal ini pesan terakhir dari tiga paket tuh pokoknya ini cepat banget nyampenya ini udh di coba jernih suaranya bass nya jg kenceng pokoknya bagus banget nggak nyesel beli disini",2024-06-26 06:56:56,tws,positive
i*****_,5,"kualitas suarabaik
kualitasbaik
warnaputih

alhamdulillah paketnya nyampe di rumah dengan aman tanpa kerusakan sampenya juga tepat waktu kondisi isi juga sesuai ekspektasi dan tidak kw good job seller amanah",2024-04-22 08:45:01,tws,positive
jlyaa__,5,"fitur terbaikfinger touch
sepadan dengan hargaiya sepadan banget

bagus baget dengan harga segitu worth to buy sih tp gak tau jg kalu pemakain jangka panjang worth it atau gak suara speakernya ngebas dan gak bocor sih dengan volume kecil aja suaranya udah ngebas di telinga bagus sih menurut ku",2024-02-11 05:44:55,tws,positive
r*****3,5,"kualitas suarakeduanya bunyi
warnaputih
kualitaslumayan bisa dengerin

alhamdulillah keduanya bisa berfungsi pas awal beli pernah yg bunyi 1 aja tanya seller katanya tunggu stabil keduanya kalo dikeluarin satu satu ternyata memang mati kepencet power off untuk on offnya dipencet lama klik 2 kali buat ganti lagu 
pas awal juga pernah ga bisa dicas seller suruh ganti kepala cas saya pake charger lain yg pasangan kabel dan kepalanya baru bisa barang murah tapi pelayanan penjual bagus jadi bisa dipake produknya saat ini belum ada masalah lagi 
memang musiknya ada beberapa komponen yg ga kedengar kalo volume ga full kalo cari kualitas suara bolehlah beli yg lebih mahal dari ini",2024-11-11 05:19:11,tws,positive
e*****i,5,"fitur terbaiksuara nya oke
sepadan dengan hargawort it

akhirnya nemu headset yang bagus  untuk ketahanan maksimal dia on nya di saya 2 sampai 3 jam",2024-04-26 04:11:02,tws,positive
asrahijabid,5,"sepadan dengan hargaenak lumayan
fitur terbaikcepet konek

sayangnya cepet mati kalo ke pegang dikit di telinga",2023-10-30 02:18:53,tws,positive
rizkyaffandy95,5,"sepadan dengan hargasepadan saya dapat diharga 20rb
fitur terbaiksuara jernih tidak ada kendala tp tidak bisa terlalu jauh dari hp overall sudah bagus

sumpah aku ga expect suaranya bakal sejernih ini kek dengan harga yg aku dapetin bzirr aslinya mah ga berharap byk tp ini beneran jernih bangetttt thank youuu",2024-03-27 09:48:34,tws,positive
nurkholis_17,4,"kualitas suarasipp
kualitaslumayan
warnamenarik

assalamualaikum warahmatullahi wa barokatuh
waw bagus banget baru pertama kali beli di toko ini
semoga bermanfaat dan terima kasih kepada shopee dan penjual",2024-06-03 09:34:06,tws,positive
inur.07,5,"sepadan dengan hargaparah sih
fitur terbaiknyaman dina cepil

alhamdulillah pketnya sdh smpeini suaranya beuhhhhhhhh mantap beh pokonamahburuan di check outjika ada yang ingin di tanyakan jangan ragu adminnya ok",2023-12-17 12:32:57,tws,positive
assyifa962,4,"fitur terbaiklumayan sebanding dengan harga
sepadan dengan hargadengan harga segini lumayan

gak expect bangett kardusnya bakaln warna putih padahal aku pesenya warna item eh begitu di buka warna item hehe lumayan lah dengan harga segini pas dengan kualitasnya gak terlalu ngebas jugamakasih yah kakk",2024-04-04 14:50:49,tws,positive
w*****j,5,paking aman pengiriman cepat produk bagus suara ngebas keren tampilan sesuai,2023-10-15 14:10:03,tws,positive
anggak19,5,"sepadan dengan hargaiyaa
fitur terbaikiya

bagus sih suaranya ngebass pengiriman juga cepat cocok la buat gayaan niii intinya syukaaa bangett",2024-01-12 08:13:12,tws,positive
