username,rating,comment,time,product
irengbiru98,5,"Fitur Terbaik:mendengarkan suara
Sepadan dengan Harga:lumayan sepadan

Barangnya sesuai dengan deskripsi... Nyampenya juga lumayan cepat.. sellernya Gercep...  semoga barangnya awet dan berfungsi dengan baik.. Okelah kalo begitu...",2023-12-06 05:31:58,tws
r*****l,5,"Sepadan dengan Harga:Yesss

Aaaa suka banget. Bass nya oke untuk harga segitu. Krn modelnya ada karet(?) di bagian kupingnya jadi ga gampang lepas dri kuping. Desainnya compact juga sukaaaaa. Packing lumayan sih 2 harian, tapi dimaklumi krn beli pas 1.1 ❤ Thanks seller",2024-01-07 00:51:28,tws
e*****n,4,"Fitur Terbaik:sangat menarik dn unik
Sepadan dengan Harga:barang

Waw.. Luar biasa 👍🏻👍🏻👍🏻😃😃 cukup rekoment banget untuk menggelengkan leher saya alias 🤫 kayak ditempat dugem 😃😃👍🏻👍🏻 gk rugi beli dn Semoga awet",2023-11-26 11:21:27,tws
nida889,5,"Sepadan dengan Harga:30ribn
Fitur Terbaik:bagus skli nya suara kenceng

Maaf baru kasih nilai skrng heheee intinya bagus deh brfungsi dgn baik semoga awet ka mkasih ka ku beli dlu headsetnya",2023-12-18 04:20:54,tws
mikailanifsyawijaya,5,"Fitur Terbaik:bagus 👍
Sepadan dengan Harga:terjangkau

Bagus bgtt loh, batrenya gak cepat habis lagi👍👍👍",2023-12-06 07:16:06,tws
panujuthoriq17,5,"Kualitas Suara:suara jernih
Warna:putih
Kualitas:mantap, nggak murahan

Alhamdulillah paketnya sampai juga akhirnya ini yang di tunggu tunggu, padahal ini pesan terakhir dari tiga paket tuh, pokoknya ini cepat banget nyampenya, ini udh di coba jernih suaranya, bass nya jg kenceng pokoknya bagus banget nggak nyesel beli disini",2024-06-26 06:56:56,tws
i*****_,5,"Kualitas Suara:baik
Kualitas:baik
Warna:putih

alhamdulillah paketnya nyampe di rumah dengan aman tanpa kerusakan. sampenya juga tepat waktu. kondisi isi juga sesuai ekspektasi dan tidak kw. good job seller amanah.",2024-04-22 08:45:01,tws
jlyaa__,5,"Fitur Terbaik:finger touch
Sepadan dengan Harga:iya sepadan banget

Bagus baget dengan harga segitu worth to buy sih tp gak tau jg kalu pemakain jangka panjang worth it atau gak😁, suara speakernya ngebas dan gak bocor sih dengan volume kecil aja suaranya udah ngebas di telinga, bagus sih menurut ku👍",2024-02-11 05:44:55,tws
r*****3,5,"Kualitas Suara:keduanya bunyi
Warna:putih
Kualitas:lumayan bisa dengerin

Alhamdulillah keduanya bisa berfungsi. Pas awal beli pernah yg bunyi 1 aja. Tanya seller katanya tunggu stabil keduanya kalo dikeluarin satu satu. Ternyata memang mati kepencet power off. Untuk on off-nya dipencet lama. Klik 2 kali buat ganti lagu. 
Pas awal juga pernah ga bisa dicas. Seller suruh ganti kepala cas. Saya pake charger lain yg pasangan kabel dan kepalanya baru bisa. Barang murah tapi pelayanan penjual bagus jadi bisa dipake produknya. Saat ini belum ada masalah lagi. 
Memang musiknya ada beberapa komponen yg ga kedengar kalo volume ga full. Kalo cari kualitas suara bolehlah beli yg lebih mahal dari ini.",2024-11-11 05:19:11,tws
e*****i,5,"Fitur Terbaik:suara nya oke
Sepadan dengan Harga:wort it

akhirnya nemu headset yang bagus,  untuk ketahanan maksimal dia on nya di saya 2 sampai 3 jam",2024-04-26 04:11:02,tws
asrahijabid,5,"Sepadan dengan Harga:enak lumayan
Fitur Terbaik:cepet konek

Sayangnya cepet mati kalo ke pegang dikit di telinga",2023-10-30 02:18:53,tws
rizkyaffandy95,5,"Sepadan dengan Harga:sepadan, saya dapat diharga 20rb😁
Fitur Terbaik:suara jernih tidak ada kendala, tp tidak bisa terlalu jauh dari hp, overall sudah bagus😁

sumpah aku ga expect suaranya bakal sejernih ini, kek dengan harga yg aku dapetin bzirr aslinya mah ga berharap byk, tp ini beneran jernih bangetttt. thank youuu😁",2024-03-27 09:48:34,tws
nurkholis_17,4,"Kualitas Suara:sipp
Kualitas:lumayan
Warna:menarik

Assalamu'alaikum warahmatullahi wa barokatuh
Waw bagus banget baru pertama kali beli di toko ini
Semoga bermanfaat dan terima kasih kepada shopee dan penjual",2024-06-03 09:34:06,tws
inur.07,5,"Sepadan dengan Harga:parah sih
Fitur Terbaik:nyaman Dina cepil

Alhamdulillah pketnya sdh smpe,ini suaranya beuhhhhhhhh mantap beh pokonamah.buruan di check out,jika ada yang ingin di tanyakan jangan ragu adminnya ok",2023-12-17 12:32:57,tws
assyifa962,4,"Fitur Terbaik:lumayan sebanding dengan harga
Sepadan dengan Harga:dengan harga segini lumayan

Gak expect bangett kardusnya bakaln warna putih padahal aku pesenya warna item,, eh begitu di buka warna item hehe,, lumayan lah dengan harga segini pas dengan kualitasnya gak terlalu ngebas juga..makasih yah kakk🙏🙏🙏🙏🙏",2024-04-04 14:50:49,tws
w*****j,5,"Paking aman, pengiriman cepat, produk bagus, Suara ngebas keren. Tampilan sesuai",2023-10-15 14:10:03,tws
anggak19,5,"Sepadan dengan Harga:iyaa
Fitur Terbaik:iya

Bagus sih suaranya ngebass pengiriman juga cepat cocok la buat gaya""an niii intinya syukaaa bangett",2024-01-12 08:13:12,tws
adidesign77,5,"Kualitas Suara:treble normal
Kualitas:kualitas sangat baik setelah jatuh beberapa kali
Warna:warna hitamnya bagus

Untuk bass-nya enak, terima telp sambil naik motor juga masih jelas suaranya kondisi helm tertutup/.
Untuk harga yg terbilang cukup murah kualitas baik dan produk kuat.",2024-06-06 06:34:38,tws
7*****i,1,"Warna:hitam

Parah yang jual kaga jujur baru Beli barang di kasih ya barang yang udah rusak,, di coba ke bluetooth dan di cass kga bisa jga",2024-11-30 02:39:30,tws
i*****1,5,"Kualitas Suara:jernih dan full bass
Warna:biru
Kualitas:murah tapi tidak murahan ygy

real pick bjirrr, ini mah aku rekomendasi buat lu semua yang mau pada beli, beli aja jangan di taruh keranjang terus langsung co",2024-07-29 03:53:47,tws
b*****4,5,"Sepadan dengan Harga:harga segitu udah termasuk bagus banget sih
Fitur Terbaik:fitur banyak,rada susah ngaturnya

Tampilan modis dan elegan,bagus,kardus juga lumayan tahan",2023-12-10 12:58:40,tws
s*****_,5,"Kualitas Suara:sangat jernih dan bagus
Warna:sesuai dengan ekspektasi
Kualitas:sangat baik

Alhamdulillah paketnya sudah sampai, sesuai dengan ekspektasi, bass-nya juga enak di telinga, suaranya jernih, semoga tahan lama yaaa... Terimakasih min🙏🏻🥰",2024-10-04 11:07:26,tws
sitimutawasitoh,5,"Fitur Terbaik:extra baik
Sepadan dengan Harga:sepadan, kurang buku paduan aja, but it's okay

Barang tiba dengan aman cuman 2 hari, tapi kok 1 headset ada yg lampunya terus nyala tpi yg satunya nyala cuman ga tiap menit aja, ini ada bukti foto yg 1 headset terus menyala lampunya , tapi gapapa asal ga rusak. Pokoknya tokonya amanah bngt. Sehat' buat ownernya ❤🤍😇
SEMOGA AWETT❤",2023-12-12 11:04:31,tws
indra_kurniawan97,3,"Kualitas Suara:lumayan
Warna:biru muda
Kualitas:baik

Untuk telponan udah bisa, dengar video juga oke, untuk musik cukup lh untuk orang gk begitu suka ngebass. 
Tpi indikator lampu untuk pengisian batrai belom ada jdi kalau ngisi batre harus ngira² sudah penuh atau belom",2024-11-11 05:02:33,tws
daini74akbar97,3,"Kualitas Suara:nge Bass Banget 🔊
Warna:sesuai pesanan
Kualitas:mantap

Entah aku yg belum tau cara pakainya atau kualitas bendanya emang gitu soalnya sesekali macet/koneksi terputus mungkin jaringan atau apa gitu..terus baterai headset bluetooth nya cepat terkuras.. tapi suaranya jernih dan ngebass bnget.. aku suka👌",2024-06-30 00:04:10,tws
raflirafli462,1,"Fitur Terbaik:ga tau baru di anbox
Sepadan dengan Harga:kaga

Apaan ini cuman sebelah niat jualan ga si",2024-01-25 11:15:03,tws
revanovera,5,"Sepadan dengan Harga:sepadan

suaranya okeee tampilannya juga bagusss, dengan harga segini okee lahhh",2024-05-05 05:16:11,tws
f*****s,5,"Kualitas Suara:bass yang memuaskan
Warna:sesuai dengan ekspektasu
Kualitas:bagus banget

pertama kali beli earphone.. karena sebelumnya hilang trus nemu ini. untuk harga segini ini worth it banget karena sebagus itu kualitasnya trus pengiriman hanya 2 hari👍🏻👍🏻👍🏻👍🏻",2024-10-04 08:14:49,tws
