username,rating,comment,time
a*****0,5,"Fitur Terbaik:baik
Sepadan dengan Harga:kwalitas bagus

Barang nya berkualitas , hrga nya murah bgt, untuk yg mau djual lgi sngt cocok . pngrman ny jg cpt.",2022-08-14 09:30:12
fureqone,5,"Fitur Terbaik:Buat Cas Hp
Sepadan dengan Harga:iya

Alhamdulillah paket telah di terima dengan baik & sesuai, packing rapi dan aman, pengiriman lumayan cepat,,,
Terima kasih,,,",2023-03-06 17:29:05
homemade_hec4rt,5,"Fitur Terbaik:mantap
Sepadan dengan Harga:murah

Alhamdulillah pesanan sudah datang..senang belanja di toko ini,seller fast respon dan pengiriman cepat
Produk oke,.harga murah,bahannya bagus
Sudah beberapa kali beli dan selalu puas
Terimakasih seller,terimakasih kurir dan terimakasih shopee",2023-02-01 06:17:44
e*****e,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:murahhh

Xixixi 2rbann lumayannnn plus gratis ongkir juga lagii😍 makasiii min semoga berkah terus dan lancar,  ramai terus tokonya aamiin, pengiriman nya juga okee standarrr mantep mantep pokok naa mahhh👍🏻",2022-07-17 03:21:54
arisenci,5,"Sepadan dengan Harga:oke
Fitur Terbaik:ok

Mantap banget,  toko yg amanah beli sebiji juga dilayani dengan baik... Pengiriman juga cepat,  paking standar bagus... 
Terima kasih banyak kaka,  semoga sukses selalu... 
Langganan...",2023-09-15 02:21:26
alham26j,5,Bagus banget😭😍dengan harga segitu murah dan barang gak murahan terus warnanya juga pink manis😍😍gak nyesel beli disini😍❤❤👍,2022-05-19 12:29:04
e*****a,5,"Fitur Terbaik:lucuu
Sepadan dengan Harga:harga receh tp mantep

Dpt harga 2890 dpt kabel data, buat hpku oppo type lama yg aslinya sudah gk ngechas klo lg ngisi lama bgt penuhnya, smga yg ini bs cpt klo ngisi dan aweet, sering ngasih discount yaa, makasih seller, shopee dan abang kurir langganan",2024-03-05 16:19:00
a*****2,5,respon penjual cepat kurir cepat barang sesuai pesanan maaf belum di coba jadi belum bisa komentar banyak. tapi kalau lihat dari harga e ya semoga saja tidak mengecewakan,2022-08-11 10:12:06
adityadhitzy,5,"Fitur Terbaik:bisa ngecas hp
Sepadan dengan Harga:sepadan

Harga murah, barang bagus, packing aman, pengiriman cepat",2022-07-18 15:50:21
umaay_kha,5,"Fitur Terbaik:berfungsi dengan baik
Sepadan dengan Harga:lumayan

Sejauh ini msh berfungsi dengan baik, semoga cocok dengan hp nya dan bisa mengisi dengan cepat. Thanks seller 👍",2022-07-17 12:18:00
navya_glory,5,"Fitur Terbaik:ok
Sepadan dengan Harga:iya

Kabel data buat charging hape, soalnya sering rusak. Jadi beli yg macaron sm realmi
Alhamdulillah belinya pas lagi live
Jadi freeong kirim ke jawa timur
Packing aman lah, pakai plastik hitam tebal.",2022-06-23 04:15:02
r*****s,5,"Fitur Terbaik:bagus berfungsi dengan baik
Sepadan dengan Harga:iya

Warnanya bagus dan berfungsi dengan baik. Langsung dipakai soalnya kabel lama udah rusak hehe. Thanks seller semoga laris",2022-08-10 12:43:55
katarinaarya,5,"Fitur Terbaik:Baguss
Sepadan dengan Harga:Murahh

Sebenarnya ini lebih ke tosca sih, tapi gapapa ini udah baguss bgtt untuk harga seginii",2022-10-15 09:52:10
akbarzakiaini,5,"Warna:sesuai dengan ekspektasi dan menarik
Fungsi:bekerja dengan baik sesuai dengan deskripsi
Fitur:bagus dan berguna

Barang sudah sampai sesuai dengan gambar pengiriman barang sangat cepat pokoknya tokonya amanah tidak mengecewakan pelanggan saya sangat puas",2024-12-08 03:48:27
f*****_,5,"Fungsi:berfungsi baik
Warna:bagus
Kegunaan:charger hp

Paket mendarat dengan selamat, pas d pake kabel datanya sejauh ini berfungsi baik , kecepatan mengisi nya jga lumayan cepat, semoga aja seterusnya bagus,, dari segi warnanya jga bagus , semoga sukses terus tokonya",2024-07-29 11:06:24
aprfaliru,5,"barang sesuai ekspektasi,,,,, pengiriman cepat,,,,, packing super aman,,, harga sangt terjangkau,,,, recommended bngt pokoknya,,itu resolusi foto nya agak buram tapi barang nya sesuai ekspektasi bngttt,,,plus minusnya bisa dilihat di foto dan video,,,, besttt 👍👍👍👍👍👍👍👍",2022-05-25 06:17:46
rialoversz290694,5,Fitur Terbaik:bgs mantapp g nyesal mah blnja dsni keren jangn ragu saya sdhnlanganan,2022-06-28 02:52:23
moelyanie,4,"Fitur Terbaik:ok
Sepadan dengan Harga:ok

Mayan bgt dgn hrg segitu murcenya dapet kabel casan kaya gini, bahannya tebel, tali kabelnya mayan panjang, dah di coba buat cas bs, tp gak tau fast charging apa gak nya, soalnya baru di coba nih brng baru sampe, packing biasa ajj cm plastik doank, tp aman sampe sini gak ada yg rusak, thanks shopee dan seller.",2023-06-06 05:09:51
kw121212,5,"Warna:sesuai ekspektasi
Fungsi:baik
Fitur:good

Rekomen seneng belanja di shopee barang bagus harga relatif terjangkau gunakan spaylater sangat membantu kurir cepat paking rapih terima kasih semua",2024-12-18 10:29:26
s*****_,5,"Fungsi:bekerja dengan baik dan sesuai pungsi
Warna:warna produk sesuai produksi
Fitur:dukungan pengisian bagus

Paket dtang kabel data nya pun bagus belum di coba karna paket baru saja dtang 
Kurir pun ramah pengiriman lumayaan agak lama siihh",2024-08-25 10:40:54
d*****a,5,"Fitur Terbaik:toopppp
Sepadan dengan Harga:harganya murah banget

Kabelnya bagus berfungsi dgn baik harganya murah bangettttt, 🥰🥰🥰🥰🥰",2022-10-26 05:57:00
gen.adi.lab,5,"Fitur Terbaik:oke
Sepadan dengan Harga:oke

Oke, bentuk bagus, berfungsi dengan baik, kabel lumayan besar",2023-04-27 07:30:55
l*****8,5,"Bagus banget ...kabel ny juga berfungsi dengan baik
Worth it banget dengan harga 5000
Wajib chekout..dan bakal jadi langganan di toko ini",2022-04-08 14:30:02
a*****n,5,"Fitur Terbaik:fast chargingnya ok
Sepadan dengan Harga:sepadan

ini lumayan fast charging kok, dibanding kabelku yg lama ini membantu bgt mana murah + warna yg super cute. makasih seller pengiriman juga aman",2023-07-08 07:11:38
ukiesf,5,"Fitur Terbaik:sangat baik
Sepadan dengan Harga:harga murah

Alhamdulillah pesenan sudah sampai sesuai pesanan cepet pengiriman barang ok harga murah kualitas bagus kemasan rapi abang kurirnya Rama",2023-04-02 05:00:13
dheananda1207,5,"Warna:warna produk sesuai dengan ekspektasi
Fungsi:sangat bermanfaat untuk kebutuhan
Fitur:bagus dan menarik

Paketnya udah saya Terimah makasih seller udah 2 kali belanja di toko ini semoga amanah dan lancar terus rezekinya 🙏🙏",2024-11-16 03:49:08
toko.ojekssemprol,5,"Fitur Terbaik:bahan kabel lumayan lentur.
Sepadan dengan Harga:Rp.2999 dapet kabel data yang berfungsi normal.

Produk berfungsi normal semoga awet, semoga berkah untuk semua Amiiiin... 
Terimakasih seller dan semua yang berkaitan 🙏🙏",2022-06-16 13:21:23
thebali,5,"Warna:ungu
Fungsi:Sangat Bermanfaat
Fitur:Bagus dan berguna

The best pokok nya
Order kemarin 
Sampai hari ini Siang
Order 14 Oktober 2024
Sampai 15 Oktober 2024

The best dah

Fungsi semua Normal
Order 3pcs 
Kerokan jenggot , Headset Dan Kabel data Micro

Mantaap",2024-10-15 06:57:45
ina.budiherlina,5,"Warna:pastel
Fungsi:sesuai
Fitur:sama aja

Warnanya gemes gemes lucu lucu murah meriah banget 2 rban dah dapet kabel data kalo dikonter udah belasan ribu ni harga nya worth it baaaaaangggeeeeeettttttttt 👍👍👍👍👍👍",2024-11-21 11:23:14
kurniatisakier1234,5,"Makasiiiiih yaaa paket udah diterima dengan baik & lengkap, packing lumayan aman ,,.harga lebih bersahabat, kualitas produk juga baik semoga awet,,di toko ini udah pembelian kesekian kalinya..
Lancar terus utk seller..",2024-09-03 15:19:33
windayasti,5,"Warna:hitam
Fungsi:bekerja dengan baik
Fitur:bagus

Alhamdulillah barang udah sampe dengan selamat Tanpa lecet sama sekali, barang nya sangat bagus dan ini check out yang ke 2 semoga awet ya makasih seller",2024-09-29 11:05:36
syifafaqih987,5,"Fungsi:berfungsi dgn baik
Warna:sesuai dgn pesanan
Kegunaan:karna terlalu murah jadi beli 5 😁

Pengiriman sangat aneh, cepet banget sehari doang udh nyampe..Alhamdulillah
Tokonya amanah,semoga dilancarkan usahanya...terimakasih yahh",2024-07-14 07:29:01
ima.imoet14,5,"Warna:warna pink dan ungu
Fungsi:menyala
Fitur:baik

Alhamdulillah barang sudah dateng, berfungsi dengan baik,  terima kasih admin,  terima kasih shoopee,  terima kasih babang kurir aku suka warnanya",2024-10-04 08:57:56
queenzeeputri,5,"Warna:kuning
Fungsi:utk ngecas hp
Fitur:baterai terisi dengan baik

Paket dah sampe cepat banget pengirimannya terima kasih seller dan shopee berkah selalu usahanya semoga awet dipakenya",2025-01-05 13:47:18
windayasti,5,"Warna:putih
Fungsi:bekerja dengan baik
Fitur:berguna

Alhamdulillah barang udah sampe dengan selamat Tanpa ada lecet sama sekalian, ini order sekian kali gak pernah mengecewakan. Makasih seller",2024-10-18 11:10:54
a*****1,5,Paket lengkap tanpa cacat keren banget deh pokoknya harganya juga murah sellernya baik.,2022-06-17 03:22:49
d*****e,5,"Fitur Terbaik:ok
Sepadan dengan Harga:sesuai

Kualitas produk baik, harga murah, pengemasan baik, pengiriman ok. Tq.",2022-09-28 08:01:52
