username,rating,comment,time
karaayyh,5,"Fitur Terbaik:bagussss
Sepadan dengan Harga:murah bngttt

Lama sih tapi lumayan dan bagus sih dengan harga segitu, warna ungu ya jg mengkilat ini yg aku cari warna nya..........",2023-10-04 10:37:26
h*****h,5,"Kualitas Suara:sangat bagus, suaranya kedengaran bahkan berada di luar/jalanan kedengaran
Warna:sesuai dengan pesanan
Kualitas:kualitas barang baik, dan bagus

Bagus untuk kualitas suara dan kualitas barang.",2024-10-10 10:54:01
virgiawancastrena,4,"Sepadan dengan Harga:Lumayan
Fitur Terbaik:Baik

Dengan harga yg murah meriah, saat di gunakan tetap enak dan ada bassnya. Pengiriman lumayan dan kualitas produk lumayan, semoga awet.",2023-09-23 05:42:26
c*****p,5,"Kualitas Suara:suara jernih
Kualitas:lumayan bagus
Warna:sukaa, menarik warnanya

Lumayanlah worth it banget untuk harga segini. Aku emang yg gak pernah awet pake earphone, jadi sayang kalo beli yg mah*lan 😸",2024-07-21 11:14:53
alfirmansyah_h,4,"Fitur Terbaik:untuk mendengarkan suara dari handphone
Sepadan dengan Harga:sepadan

Terima  kasih,,,,, earphones pesanannya saya sudah sampai si lokasi alamat tujuan pengantaran dan telah saya Terima",2023-09-25 07:33:59
r*****3,5,"Kualitas Suara:bass terdengar cukup oke
Warna:sangat bagus dan sesuai dengan gambar
Kualitas:sangat bagus dan memuaskan

Bagus banget cocok banget buat telinga aku, pokoknya dak nyesel kalo beli ini, warna2nya juga suka banget soft gitu. Makasih kak",2024-09-19 14:30:39
a*****7,4,"Sepadan dengan Harga:baik
Fitur Terbaik:baik

Ada harga ya ada kualitas, sesuai lh dengan harga segitu ya Alhamdulillah bisa berguna untuk mendengarkan musik namun untuk tombol skip atau pause tidak fungsi",2023-04-17 04:56:40
hamdani.sapeyy,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:murah

Barang dah sampe dan buat hf yah bagus nyala SMA kiri kanan next bakall order lagi tpi tunggu flas sale😁😁😁😁😁😁😘👍👍👍😘👍👍",2023-08-31 11:28:01
r*****o,5,"Fitur Terbaik:bagus handsetnya, suara nya kenceng dan nyaman saat di pakai
Sepadan dengan Harga:iya

bagus handsetnya, suaranya kencang, dan nyaman saat di pakai, harganya juga murah terimakasih banyak",2023-04-16 11:07:10
kerupukrengginang12,4,"Sepadan dengan Harga:sangat murah
Fitur Terbaik:mendengarkan musik

ini hedset kecil2 cabe rawit , murah tp oke punya suara enak warna nya cantik2 suka deh pokoknya klo bwt awet ga nya tergantung pemakaian slama ini sering beli hedset kyk gni slalu awet sih",2024-02-24 08:38:05
tinadanew,5,"Sepadan dengan Harga:murah kualitas tidak murahan
Fitur Terbaik:baik

bagus bagett",2023-03-26 11:58:18
yosicaturpratiwi,5,"Kualitas Suara:mantap jernih suaranya
Warna:sesuai gambar
Kualitas:sangat memuaskan 🤤

Cuakepp mantuulll kmren co pas 12.12 beli dua wrna abu abu sama pink🥳🥳 ini udh aku tes suara nya mantap bgtt jernih, SEMOGA AJAA AWET YAA 🥰🥰 awal pake berfungsi dengan baik🥳🥳🥳 terimakasih toko🫶🏻🫶🏻🫶🏻🥰 rekomendasi bgtt cuyy hrga dikonter 15k dsni murah meriah💸🥳🥳",2025-01-05 07:20:10
n*****8,5,"Fitur Terbaik:sangat baik
Sepadan dengan Harga:bagus banget

Terimakasih banyak buat toko yang amanah banget MasyaAllah semoga berkah selalu kak
Makasih bonusnya seneng banget MasyaAllah bisa dibuat langganan pokoknya sukses selalu ☺️🙏🏻
Buat kurir shope jugaa terimakasih banyak semoga sukses selalu ☺️🙏🏻 
Dan Shope thanks for you",2024-05-01 08:59:18
dwidamayanti96,5,"Kualitas Suara:bagus
Warna:sesuai
Kualitas:jelas

baru kali ini dapet flas sale gratis 0% makasih banyak shopee & seller.. walaupun gratis tapi yang dikirim tetep nyala gak yang alas kirim.. bagus banget tokonya..",2024-08-15 04:30:49
septiandwiristyo,5,"Fitur Terbaik:oke
Sepadan dengan Harga:yaa

Murah bangeeet dengan harga segituuu...3ribuan udah dapat hedset sekokoh ini...smoga awet yaaa...bagi penjual bisa dijual lagi loh ini...makasih seller😍😍😍",2023-10-13 07:12:56
,5,"Pengiriman super cepet, adminnya ramah, produk aman, pengemasan juga aman. Thank u",2023-08-01 04:51:26
n*****1,5,"Fitur Terbaik:oke
Sepadan dengan Harga:sepadan

Pesanan sdh sampai. Kualitas barang, pengemasan dan pengiriman oke semuanya. Terimakasih byk seller dan Abang kurir 🙏 🤗",2023-09-23 10:38:05
lussydamaryanti,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:baik

Pengiriman cepat ... Tidak ada yg cacat semua sesuai pesanan ..packing aman tebel semua",2023-06-22 13:36:43
c*****0,5,"Kualitas Suara:bagus
Warna:hitam
Kualitas:bagus

Alhamdulillah barang sudah sampai di rumah dengan selamat dan utuh seller amanah semoga semakin sukses barokah kedepannya jangan lupa untuk belanja disini sangat menyenangkan dan rekomended harga murah kualitas terjamin Thank you seller 👍👍👍👍😍😍😍😍",2025-01-09 13:36:10
franciscaoliviawalten,5,"Kualitas Suara:yang dihasilkan jernih
Warna:menarik dan ceria
Kualitas:bass nya keren bahannya bagus warnanya menarik

Suka pakai ini beli berkali-kali warnanya jgbagua bagus dan menarik bass-nya jg ok puas lah pokoknya",2024-08-23 08:50:42
santi_vee,5,"Kualitas Suara:bass dan jernih
Warna:menarik
Kualitas:bagus

Barang sudah sampai.. Lumayan buat harga murah.. Tp dapet barang yg bagus.. Barusan udh dicoba dan berfungsi dg baik",2024-10-17 12:45:04
oo0yhvunp4,5,"Kualitas Suara:bagus jernih
Warna:ungu sm pink
Kualitas:kualitas trendi

Udah pernah coba beli handsfree ini bagus, jadi sekarang beli lagi. Warna2 nya cantik. Kemasan rapi dan pengiriman juga cepat.",2024-12-15 02:36:36
aisyahyasin80,5,"Kualitas Suara:bagus
Warna:sesuai pesanan
Kualitas:cukup memuaskan

Gilaaaa harga kurang dari lima rebu perak dapet barang yg bagus banget beberapa kali beli di tempat lain harus di retur karena ga ada suara dan dengan harga yg jauh...jauh lebih mahal iseng iseng beli ini malah ga mengecewakan the best lah",2024-12-08 05:31:34
febbyriska,5,"Alhamdulillah paketnya mendarat dengan aman, toko nya amanah banget, harga murah kualitas ga murahan hehehe, 
Pengirimannya juga cepet sukses selalu buat tokonya, berkah berkah 🤲🤲🤲🤲🤲🤲",2023-04-12 13:05:10
apu_20,5,"prosesnya cepat, sesuai pesanan warna abu, hasil suaranya oke, gada yg cacat atau kurang, thank you seller",2024-08-09 03:48:58
n*****a,5,"Sepadan dengan Harga:👍
Fitur Terbaik:blm dicoba semoga nyala

Bismillah alhamdulillah paket sdh sampai dgn selamat tanpa kurang satupun dan sesuai dengan pesanan juga
Terimakasih banyak seller semoga berkah",2024-03-01 07:44:07
demdom30,5,"Fitur Terbaik:suara jelas

Barang lengkap, warna dan model sesuai, suara jelas...",2023-01-16 07:29:02
