username,rating,comment,time
orakzet,5,"Baranh bagus barand original pengiriman cepat.

Sangat rekomendasi

Happy shopeeBaranh bagus barand original pengiriman cepat.

Sangat rekomendasi

Happy shopeeBaranh bagus barand original pengiriman cepat.

Sangat rekomendasi

Happy shopeeBaranh bagus barand original pengiriman cepat.

Sangat rekom",2021-12-19 02:28:24
ekaputrianandajuanimashyfa,5,"Kualitas barang dan harganya worth it untuk dibeli, kecepatan pengirimannya juga oke bgt, saya kasih bintang 5 karena emg suka dgn kualitas, harga, dan pengirimannya ditambah saya jadi kelebihan 1 strap silicon warna cream karena ada missed dari penjualnya pas pengiriman tipe barang yang saya pesan.",2022-06-01 14:54:06
a*****a,5,"Fitur Terbaik:berfungsi dgn baik
Sepadan dengan Harga:yg ori lebih lentur tapi yg ini tidak terlalu kaku masih OK

Order kemarin, hari ini sudah sampai, warna sesuai..bagus harga juga murah tapi kualitas OK.",2022-08-03 11:13:16
litanamanya,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:sepadan

barang cepet banget datengnya, banyakk promo juga, kualitas sesuai harga, barangnya juga sesuai gambar, warnaa nya juga sesuai gambar, toko lengkap dengan variasi yg lainnya juga ga kalah bagus2🫶🫶🫶",2023-12-17 09:33:40
mayafitriani32,5,"Fitur Terbaik:ok
Sepadan dengan Harga:murah tp ttp ada ongkir 😁

Lumyan buat ganti tali silicon nya semoga warna putih gk cpt kuning, pengiriman cpt sukses lncar tokonya.thanks",2022-09-05 05:15:42
,5,"Bagus banget produknya, lentur dan rasanya kyk ori bawaan mi band 4 cakep lah...

Akan selalu kusebut namamu,

Diantara 7 titik dengan kerendahan diri,

Di atas selembar permadani,

Yang berharap semoga sampai di langit, dan turun kembali ke bumi sebagai karunia.

Cerita pendek ini, menggambarkan se",2022-07-23 06:14:14
sarahslsbila,5,"Fitur Terbaik:presisi dan sesuai dengan ukuran jamnya
Sepadan dengan Harga:murah meriah tapi bagus

karena harganya affordable akhirnya pilih beli banyak warna sekalian. udah coba pake semua warna dan overall bagus dan puas 😍",2023-05-29 02:07:36
rahayu_karakempingsolo58,5,"Fitur Terbaik:wrn merah maroon, seperti ungu muda, tapi saya suka, pengiriman cepat, wrn cream dan hitam jg bagus
Sepadan dengan Harga:sepadan, murah

Produk oke, bagus",2022-08-26 02:02:20
zuferhero,5,"Fitur Terbaik:bagus. pas di mi band 5
Sepadan dengan Harga:sepadan

Suka dengan barang ini. Murah dan berkualitas. Wisnu Canal suka sekali",2022-08-07 06:20:59
arindapra,5,"Produknya oke, sangat fit untuk Mi Band 4.
Karetnya nggak bikin gatel, ada multiple adjustments untuk ukuran biar lebih pas.",2022-04-02 03:14:01
m*****i,5,"Fitur Terbaik:okee
Sepadan dengan Harga:okee bangettt

Harganya murah polll, lumayan bisa gonta ganti warna, belum tau bakal awet apa engga, klo kualitas hampir sama kyk yg ori dari xiaomi nya",2022-07-28 08:31:32
g*****n,5,"Bagus oke good sesuai harga mantap, pengiriman lebih cepat dari sebelumnya thankyou seller",2022-10-01 06:34:27
arini.elkhairy,5,"Warnanya sesuai gambar, suka deh. Bahan karetnya bukan yang lembut punya ya, sesuai harga 👍🏼 lumayan deh buat tambah koleksi. Pengemasan standar sih. Thx a lot seller! Definitely bakal beli disini aja kalau mau nambah koleksi lagi.",2022-04-10 09:41:22
aprianyangelina,5,W udh ga ngerti lgi.. Sebagus itu wehhhh..  Murmer dan warnanya cantiks2 bgt.. Semua dalam kondisi baik diterimanya.. Dan udh dicoba juga.. Dan cucok.. Bakal beli semua warnanya sih.. Parah,2021-11-13 04:54:28
bimo.satrio225,5,"Fitur Terbaik:barangnya bagus, tidak ada lecet ataupun cacat pengiriman juga cepat👍👍

Mantapp",2022-07-17 05:55:45
saniyaputriii,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:banget

sumpah cinta banget sama toko ini, strapnya bagus pol
dibonusin lagi ahh love banget.. auto follow
next bakal order lagi. CALANGE ❤",2022-12-15 12:48:22
rezaw12,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:iya

Harga terjangkau, murah tapi tetap kualitasnya bagus, harga komplit, karet lentur, dan nyaman, cocok untuk mi band 6, pemgiriman cepat",2023-06-19 13:34:40
erik.simanungkalit,5,"Mantap sekali, produk bagus, pengiriman lumayan cepat. Gw pasti beli lagi di sini",2022-02-04 12:30:34
s*****_,5,"Fitur Terbaik:baik karetnya,
Sepadan dengan Harga:sepadan

Suka dengan warna, muat dengan jamnya, terimakasih",2022-08-31 11:17:24
f*****i,5,"Fitur Terbaik:Bagus 💯
Sepadan dengan Harga:sepadan

kualitas oke harga murah mantab.. next order lg",2022-07-14 06:12:52
c*****r,5,"Fitur Terbaik:Bahan Tebal
Sepadan dengan Harga:Harga Sesuai kualitas

Paketnya sudah sampai, cepat jg sampainya.
Bahannya tebal & lentur, warna aslinya jg bagus bgt gak norak.",2023-06-02 10:37:41
reniapryana171015,5,"Fitur Terbaik:strap watch
Sepadan dengan Harga:murah

Pengirimannya cepat, harganya murah. Produknya lentur gak kaku gitu. Enak dipakai, tangan gak lecet, next mau pesan lagi. Recomended di toko ini 😊😊",2022-09-30 03:08:41
i*****i,5,"Fitur Terbaik:baik
Sepadan dengan Harga:good

Langganan banget disini harga murah kualitas nya bagus banget dan sampai ke rumah tidak lama cepat sekali dan sampai rumah aman",2023-12-20 04:48:19
b*****a,5,"Sepadan dengan Harga:sepadan
Fitur Terbaik:warna warni

Produk bagus. Warna warninya cakep. Bisa cocokin sama baju. Muat dengan sempurna. Dikemas rapih. Pengiriman cepat. Sampai dengan aman. Thanks seller. Sukses selalu ya",2023-05-22 05:35:02
sherryhlms,5,"Fitur Terbaik:ok
Sepadan dengan Harga:sepadan

Kualitas cukup ok. Memang tidak terlalu tebal. Semoga tahan lama. Penjual responsif, pengiriman cepat. Barang lengkap.",2022-06-12 11:43:38
dian_iin91,5,"Sepadan dengan Harga:duh harganya murah tapi kualitas bagus , warna kuning cuco banget lagi gl trlalu jreng norak gt.. pengiriman jg cpt bgt.. mantep warna black standard pada umumnya",2023-08-29 00:56:38
aioffiicial,5,"Sepadan dengan Harga:Iya mantappp
Fitur Terbaik:berfungsi dengan baik

Alhamdulillah Charger nya berfungsi, dan gelang jam nya cocok.. makasih seller dan kurir nya sudah amanah.. mantaapppp",2024-02-22 07:01:30
desyfarida,5,"Fitur Terbaik:baik
Sepadan dengan Harga:sepadan

Harga murah meriah, warnanya sangat menggemaskan, karet strap jam nya tebal, semoga bisa awet, pengiriman cepat, di bungkus rapih, lovely.",2022-12-13 11:57:55
e*****a,5,"Fitur Terbaik:baik
Sepadan dengan Harga:terjangkau

Peniriman cepat barang mantap",2022-09-30 05:37:42
a*****.,5,lucuuu banget warna nya gemeshhh gemesh banget sukaaa sama warna nya,2022-05-25 12:47:53
a*****s,5,"Produk dikirim sesuai pesanan dan sampai dalam keadaan aman. Beli sekalian banyak yg sangat murah. Ternyata saat dicompare sm strap yg beli di mall harga 50 ribuan (warna kuning) itu ketebalan, elastisitas dan materialnya hampir sama kok",2024-08-04 06:46:21
d*****7,5,"Strapnya super wort the price. Ini strap mi band ter best price menurut aku
 Semoga bahannya awetnya. Cukup lah buat gonta ganti style strap. Sukses selalu ya seller.",2023-08-11 23:10:22
d*****9,4,"Fitur Terbaik:barang bagus sesuai harga
Sepadan dengan Harga:sesuai dengan harga

barang sudah diterima dengan baik..kurir ramah, pesan warna hijau tua, cream & maron, warna hijau & cream sudah sesuai tapi sayangnya warna maronnya dikirim warna pink keunguan😞..maaf saya agak kecewa ini padahal sudah langganan lho..sebagai masukan mohon di cek dahulu sebelum kirim..terima kasih kurir & Shopee..GBU all",2022-10-31 09:06:59
s*****a,5,"Warna:ceria dan menarik
Ukuran:pas dan sangat sesuai
Kualitas Bahan:menggunakan bahan yang bagus dan baik

Toko ini menjual produk yang sangat murah dan menarik. Terima kasih",2024-08-06 01:59:36
litanamanya,5,"Sepadan dengan Harga:sepadan
Fitur Terbaik:bagus

pengiriman cepat, banyak promooo, kualitas bagus sesuai dengan harga, barang sesuai dengan gambar, tokoo lengkap, ga pelit kasih promo juga🫶🫶🫶🫶",2023-12-17 09:28:02
yogowd,5,"Kondisi barang saat diterima baik, entah kebetulan atau gimana yg warna Navy agak sedikit lebih pendek dari yg lain, bedanya 1 lubang ukuran dgn strap bawaan/aslinya, tapi kalau dibandingin dengan harganya sih ini udah OK, 👍",2022-01-05 14:37:02
faishallss,5,"Untuk barang yang sesuai harganya ini udah oke banget sih , ga salah milih warna yg rada gelap jadi ga ngejreng bgt , rekomended . Pengiriman juga cepet 👍🏻",2022-03-31 04:37:34
y*****n,5,"Sepadan dengan Harga:ok
Fitur Terbaik:ok

Semuanya ok sukses ya,2024 kedepan kita ngga pernah tau apa yg akan terjadi tapi percayalah jangan kuatir serahkan pada Tuhan segala kekuatiranmu tetap semangat 💪",2024-01-05 13:39:31
k*****n,5,"Thanks ya gan.. Barannya uda sampe.
Kualitas produk ok, hrga ok, kecepatan pengiriman ok, desainnya juga ok dan sesuai dgn gambar, respon penjual baik. Sukses selalu utk usahanya ya",2022-03-15 04:41:28
irawan_hari_asmoro,5,"Sepadan dengan Harga:bagus bgt. ga nyangka
Fitur Terbaik:mirip bgt sama asli nya. ga ada beda.

Harga murah. Barang bagus bgt. Ga nyangka se bagus dan sekeren ini.
Ini mirip bgt sama ori nya.
Terimakasih banyak 
Semoga awet.",2023-05-22 15:41:04
v*****i,5,Harganya 3ribuan tapi dapet kwalitas sebagus ini.. ahhhh syukaaa.. thanks seller.. sukses terus yah,2023-06-16 07:51:04
a*****a,5,"Fitur Terbaik:ukuran
Sepadan dengan Harga:bahan

ukuran nya pas banget, masangnya juga gampang trs dia tipe karet yg kuat semoga sih ga cepet putus ya hehe thank you seller 😁",2023-03-03 10:42:12
r*****n,5,"Bagus. Kyknya keterangan warnanya perlu direvisi. Yg maroon aslinya kyk pink ungu magenta gtu. Asliikk cakep warnanya. Navy nya oke, lbh ke deep blue. Yg black emg standar black. Sama kyk black ori nya. Thank you yaa.. cakep2 warnanya. Sukaaakk.. next time cekot lg",2022-05-30 11:08:19
syahrulhanifdarajat,5,"Alhamdulillah barang sudah sampai... 
Bahan bagus dan recomend banget
Harga sangat bersahabat.. 
Untuk mi band 3 saya sangat pas ... 
Semoga awet dan jadi langganan",2022-05-13 08:07:25
ichenurhayati,5,"Fitur Terbaik:baik
Sepadan dengan Harga:sangat

Barang nya murah tp ga murahan
Kemaren dapat flash sale, harganya Rp998, ga nyampe 1000
Kirain bakal dapet band yg kaku gitu, ternyata engga, dengan harga yg semurah itu, kualitas sangat baik, lentur ga kaku,
Mantap banget pokoknya, rekomendid",2022-11-15 15:23:16
n*****u,5,"Fitur Terbaik:nice, bahan dari rubber
Sepadan dengan Harga:iya lebih bagus dari pokemon

Oke, cetakan yang patrick lebih bagus, mungkin karena warnanya gelap. Jadi lebih terlihat.",2022-12-29 07:46:18
retnotriewahyuningsih,5,"Sepadan dengan Harga:iya sepadan lebih bagus malah
Fitur Terbaik:gambar astronot nya bagus

Aku kira yah harga segituuu,pasti B aja..tapi bangus banget,akhirnya aku pake strap yg item lagiiiii terimakasih ya seller pengiriman nya cepat langsung di proses,terimakasih udah bikin jam aku bagus lagi..murah banget tapi gak murahan seriusan...aku seneng di kirim sesuai pesanan keren",2023-10-11 08:43:47
f*****e,5,"Fitur Terbaik:bagus...
Sepadan dengan Harga:sesuai dengan harga...

sesuai pesanan, pengiriman cepat... dan terima kasih di kasih bonus strap 1 lagi... jadi beli 2 dapet 3... terima kasih banyak...",2022-12-08 12:12:28
f*****7,5,"Fitur Terbaik:sesuai gambar

Kualitas produk sangat bagus sesuai dengan harga dan pengirimannya lumayan cepattt
Rekomen sekali buat kamu yang bosen dengan strap mi band kamu ❤️❤️❤️❤️❤️❤️",2022-08-19 09:15:33
s*****t,5,"Warnanya sesuai gambar. Pengiriman normal.
Kualitas oke dengan harga yang sangat amat terjangkau.
Awal mau pesen 1 tp supaya dpt free ongkir jadi pesen 3. Ternyata gk nyesel beli 3 warna. Jadi bisa ganti2. Memang gk selentur tali aslinya. So far so good. 

Terima kasihhh :)",2022-02-17 12:17:33
peninaayu,5,"Motif nya lucu banget, bahan elastis & lumayan tebel. Warna2 nya jg cantik2 bgt. Muat utk dipake di mi band 4. Harga murah bgt utk motif selucu ini.",2021-11-10 12:23:28
