username,rating,comment,time
r*****_,5,"Fitur Terbaik:Mantap
Sepadan dengan Harga:Sesuai

Waah.. Akhirnya yang di tunggu datang ya. Barangnya bagus sekali, harganya sangat worth it❤️.. Alhamdulillah jadi bisa berfoto tanpa di potoin sma orng lagi karena udh ada tripod ❤️❤️",2023-03-31 07:49:02
m*****_,5,"Packing aman,barang cepet smpai. Recomend aja sih klo ngga pngn kecewa pilih yg 120 kokoh jg say😎🤪 blouethoot jg cpet konek tombol aktif semua sama aja tinggal diklik (ip/andro) bisa 🥹",2023-03-14 15:56:06
i*****i,5,"Fitur Terbaik:keren banget sih
Sepadan dengan Harga:mantap pokoknya puas banget

Packing bubble wrap. Pengiriman cepat. Barang sesuai pesanan. Yang penting barangnya bener dah, harga mengikuti. Bluetooth nya juga mudah konek nya. Thanks",2022-10-28 12:54:49
a*****i,5,"Sepadan dengan Harga:bagus bgttt

Baru pertama kali beli di toko ini, bagus barang nya sesuai. Tripod nya tinggi, ga rusak, bluetooth nya berfungsi thx seller next beli lagi",2022-08-12 04:01:37
a*****a,5,"Fitur Terbaik:mantap kokoh
Sepadan dengan Harga:murce

Pengiriman cepat. Kurir ramah. Seller ramah fast respon. Sdh di coba..remote berfungsi dg baik. Makasih..

Recommended belanja d toko ini",2023-03-15 05:20:49
b*****y,5,"Fitur Terbaik:penolong untuk foto terbaik
Sepadan dengan Harga:sip

sukak pol. bagus barangnya. sudah di coba pasang holder hapenya, kokoh dan kuat. sipp! makasi kak! next mau order yg lain lg.",2022-09-12 20:23:02
a*****7,5,"Fitur Terbaik:bagus lumayan bisa keren lah mantap
Sepadan dengan Harga:lumayan lah buat harga segitu

Ayo beli produk ini,buat ngamera stabil gagah keren",2022-11-29 09:32:43
i*****n,3,"memang harganya bersahabat, tapi untung-untungan kalo dapet yang bagus.. kebetulan dapet yang agak rusak dibagian holdernya, justru itu yang terpenting untuk menahan hp. tapi malah kurang berfungsi dengan baik karena agak melembung. walaupun sebagaimana harganya, saya menyarankan agar penjual meninjau terlebih dahulu barang yang akan dikirim kepada konsumen. agar barang yang dikirimkan adalah barang yang berfungsi dengan baik. terima kasih. bintang 3 dulu ya.",2023-01-25 23:12:38
t*****6,5,"Fitur Terbaik:mau foto gag perlu ribet
Sepadan dengan Harga:Sangat sepadan

Pengiriman cepat, packing rapi dan bersih, sesuai dengan pesanan, real picture, kualitas bagus..
Terima kasih seller, terima kasih shopee",2022-10-13 14:51:13
n*****o,5,"Fitur Terbaik:tripod lengkap dng hp
Sepadan dengan Harga:ringan dikantong

barang diterima dengan baik sesuai dengan yang ditawarkan barang bagus sesuai dengan keinginan lumayan kuat tripod lengkap",2023-03-26 13:22:46
j*****a,5,"Sepadan dengan Harga:ya
Fitur Terbaik:ya

Tripod sepadan harga mudah2an awet ya gan lumayan bisa dipakai foto bersama tanpa merepotkan orang lainnya.bebas ongkir shope penjual mantap",2023-12-13 00:47:21
l*****j,5,"Fitur Terbaik:bagus lumayan keren
Sepadan dengan Harga:lumayan buat harga segitu sangat terjangkau

Sangat""puas belanja di toko ini hrg murah tp produk nyq gk murahan ok banget pokok nya🤗🤗🤗",2023-08-04 11:05:10
r*****8,5,"Fitur Terbaik:mantap
Sepadan dengan Harga:sesuai dengan kualitas

Keren lah untuk harga segini walaupun bahannya dari plastik ga terlalu kokoh untuk hp yg berat jadi posisinya agak miring tapi its oke dapat diaturr",2022-11-15 02:50:52
b*****e,4,"Fitur Terbaik:kokoh
Sepadan dengan Harga:ya

Lumayan lah buat pe-konten pemula ini, overall berfungsi semua cukup kokoh, namun harus super hati hati karena tidak bisa langsung fleksibel, setiap putaran harus diatur knop nya yang berbahan plastik",2023-09-16 20:57:04
p*****b,5,"Fitur Terbaik:terbaik
Sepadan dengan Harga:iya

Berfungsi dengan baik mulai dari standnya, remotnya, stand buat tempat hpnya. Gampang sekali kalo mau menghubungkan remotnya. Free kantong hitam dan pengemasan pakai box dan bubblewarap. Jadi tidak akan patah saat pengiriman. Terima kasih seller.. semoga amanah selalu dalam berjualan..",2023-01-09 04:05:49
