username,rating,comment,time
afida_khusna,5,Murahhh banget datengnya kerennn .. request warna juga dikasih sesuai tankyou seller,2023-06-25 05:43:04
inspiringshop,5,Bagus sesuai deskripsi dan masih seperti baru walau memang hanya bisa digunakan untuk aksesoris,2023-07-29 09:13:51
qgf7yevo68,1,Jam mati semua dengan harga segitu gak masuk akal sih,2024-03-09 06:15:25
6718k,5,"Warna:bagus
Tampilan:ok",2023-08-29 06:10:02
m910xjsovq,1,"Warna:jelek
Desain:kurang bagus
Kualitas:kecewa gak akan beli di sini lagi

Jelek kualitas jelekkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",2024-08-17 23:36:21
shafa999nur999,3,"Warna:warna yang bagus
Desain:kaurang menarik
Kualitas:bagus",2024-12-31 02:14:38
syopiakun365,1,"Tidak sesuai ekspektasi, beli 3 jam mati semuaaaaaaaaa minimal sebelum dikirim itu dicoba dluu😒😒😒",2023-09-10 05:34:48
ibadzein,1,Aku kira jam beneran ternyata jam boongan hoasx,2023-12-20 12:05:33
ur1wir6_yp,1,"Kualitas:jelek

20 biji saya pesan semua rusak tidak ada satu pun menyala",2024-08-10 09:16:49
esmini903,3,"Warna:hitam
Desain:biasa
Kualitas:buruk",2024-08-11 03:59:24
iizam1010,5,Warna:bagus,2024-08-27 11:48:01
fathimahbudiastuti,2,Mohon  perbaikannya atau gantinya... Karna itu 2 jamnya yang rusak.. Bagaimana??,2024-01-13 14:33:31
semestaoli1728,2,Warna tidak sesuai,2024-08-05 12:33:26
goesd.juna,1,Warna:mati smua,2023-12-25 08:22:03
rifkipur512,5,,2024-08-27 02:03:06
iksanb666,5,,2024-08-29 05:53:28
yusrianarokhimah,2,,2024-05-09 09:07:30
ngadiyonoslamet907,4,,2024-07-11 22:22:02
altafnuha,3,,2024-05-12 20:59:03
4taiyidqqd,2,,2024-06-06 05:28:17
e6krwg5chm,1,,2024-09-21 07:02:23
be_si_4gi4,1,,2024-11-23 10:12:42
wuiy5jkxsb,1,,2024-04-05 13:20:33
rizkydhenykuntoro,1,,2023-12-24 02:13:05
annycell283,1,,2024-08-13 11:02:39
anezkaputri182,5,,2023-11-17 06:45:03
weweawiek123,5,,2023-08-19 06:43:33
kanyaphunsawat,5,,2023-10-24 07:03:32
d*****a,3,,2023-10-25 15:35:56
abeedah_shop,2,,2023-06-16 14:05:40
akunsypidlu,5,,2023-09-08 12:39:40
akunsypidlu,5,,2023-09-06 22:24:46
moelyanto82,5,,2023-09-01 10:16:34
kholifahfah649,2,,2023-08-31 07:33:43
ikawidya1969,4,,2023-07-12 16:31:58
buyutpujibuyutpuji,4,,2023-07-06 02:21:28
kursi_pelaminan_murah,1,,2023-07-22 00:52:27
